suite,case,instance_seed,algorithm_seed,method,m,n,rank,coherence,spectrum,rhs,regularization,regularization_ratio,tolerance,success,external_success,precision_status_case,precision_status_correct,status,stop_reason,objective,reference_objective,relative_objective_gap,residual_norm,normal_residual_norm,compatible_backward_error_external,least_squares_backward_error_external,backward_error_external,relative_energy_error_external,reported_accuracy_upper,relative_solution_error,relative_null_component,a_columns,at_columns,total_vector_work,a_block_calls,at_block_calls,total_block_calls,search_vector_work,validation_vector_work,search_block_calls,validation_block_calls,sketch_a_columns,sketch_at_columns,sketch_a_block_calls,sketch_at_block_calls,iterative_a_columns,iterative_at_columns,iterative_a_block_calls,iterative_at_block_calls,gaussian_random_columns,gaussian_random_values,gaussian_random_block_requests,iterations,depth,auxiliary_width,basis_rank,kernel_seconds,a_seconds,at_seconds,orthogonalization_seconds,projected_solve_seconds,validation_seconds,other_seconds,wall_seconds,peak_resident_memory_mib,additional_resident_memory_mib,error
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,161,5000173,spir,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,2.1571835105249916e-28,5.802728069550268e-29,2.7175333475383434,1.4687353439353843e-14,1.1836633932354347e-15,2.12376114637202e-16,0.08059065223172766,2.12376114637202e-16,1.4555728667444467e-14,1.0687126150160993e-12,1.3376309027929616e-14,0.0,5,1029,1034,5,37,42,1032,2,40,2,0,1024,0,32,4,4,4,4,0,0,0,1,1,1024,512,0.989874651,0.019676837,0.7130997330000001,0.0,0.158913906,0.007523537,0.09818417499999998,1.0334001129958779,714.70703125,22.92578125,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,161,6000175,fossils,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,3.3520004102802875e-29,5.802728069550268e-29,-0.4223406008167328,5.7896462847744745e-15,3.1664183334848017e-16,8.371709635512182e-17,0.05469104981096689,8.371709635512182e-17,5.686889463852583e-15,1.0679425894783972e-12,2.924400870022919e-15,0.0,4,6148,6152,4,196,200,6150,2,198,2,0,6144,0,192,3,3,3,3,0,0,0,1,1,6144,512,4.838577241,0.014693702,4.126123854000002,0.0,0.466192925,0.00633248,0.23156675999999854,4.889867924997816,778.734375,86.95703125,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,162,1000165,amfls,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,5.700338624174473e-19,6.152536339546529e-29,9265022275.316397,7.550058691278139e-10,1.600433714036961e-11,1.0917229824674489e-11,0.021197632753316063,1.0917229824674489e-11,7.55005905829095e-10,6.93590993615312e-11,8.591960238209723e-10,0.0,109,109,218,109,109,218,192,26,192,26,0,0,0,0,0,0,0,0,0,0,0,96,96,0,96,0.722291776,0.394993938,0.31054186399999995,0.005255310999999998,0.000921351,0.08545988699999998,0.010579312000000118,0.7627313330012839,681.8046875,1.53515625,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,162,2000168,fixed_rbgk,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,2.4384736812373223e-19,6.152536339546529e-29,3963363312.3763,4.938090401397389e-10,6.319227173038169e-12,7.14037731512625e-12,0.012796904591398213,7.14037731512625e-12,4.938090332149666e-10,4.57497852414014e-11,6.207972570762317e-10,0.0,335,335,670,47,47,94,648,22,72,22,0,0,0,0,0,0,0,0,8,131072,1,36,36,8,324,0.994070205,0.4188589060000001,0.47178745899999996,0.06908008300000001,0.00884462,0.070371148,0.025499136999999922,1.034454854001524,702.3828125,10.59765625,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,162,1000165,lsqr,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,1.727818395282451e-21,6.152536339546529e-29,28083025.25011069,4.1567034958996656e-11,1.3317719737527738e-12,6.010507895811118e-13,0.03203913810707176,6.010507895811118e-13,4.1567045226755175e-11,4.872093119355522e-12,4.686519721117991e-11,0.0,273,273,546,273,273,546,512,34,512,34,0,0,0,0,0,0,0,0,0,0,0,256,256,0,256,1.680997928,0.9130243150000007,0.7472076969999997,0.0,0.0,0.10410341000000002,0.020765915999999662,1.7214546940012951,692.42578125,0.64453125,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,162,1000165,lsmr,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,8.728752222255728e-19,6.152536339546529e-29,14187242041.196663,9.342779148762806e-10,1.222073707435532e-11,1.3509466792098182e-11,0.013080408816014473,1.3509466792098182e-11,9.34277888444593e-10,8.556331614865679e-11,1.277510407558405e-09,0.0,243,244,487,243,244,487,455,32,455,32,0,0,0,0,0,0,0,0,0,0,0,227,227,0,227,1.673694003,0.8911694409999998,0.7560507549999997,0.0,0.0,0.10750456900000001,0.02647380700000046,1.725297094002599,692.42578125,0.65625,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,162,1000165,lsmb,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,1.727818395282451e-21,6.152536339546529e-29,28083025.25011069,4.1567034958996656e-11,1.3317719737527738e-12,6.010507895811118e-13,0.03203913810707176,6.010507895811118e-13,4.1567045226755175e-11,4.872093119355522e-12,4.686519721117991e-11,0.0,273,274,547,273,274,547,513,34,513,34,0,0,0,0,0,0,0,0,0,0,0,256,256,0,256,1.752042924,0.9475884609999996,0.7786691430000003,0.0,0.0,0.11206216300000002,0.02578532,1.8044410389993573,692.44140625,0.66796875,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,162,3000168,lsrn,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,1.1679126905799638e-18,6.152536339546529e-29,18982621573.666626,1.0807000928009438e-09,7.81439166340662e-11,1.562670141606616e-11,0.07230860546290309,1.562670141606616e-11,1.0806999372114606e-09,9.879826699143428e-11,1.0752366899728435e-09,0.0,66,1090,1156,66,98,164,1132,24,140,24,0,1024,0,32,54,54,54,54,1024,16777216,32,54,54,1024,512,1.637883279,0.23040634199999996,0.7433900830000003,0.0,0.151438719,0.074205255,0.5126481349999996,1.6773715629969956,714.58984375,22.80078125,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,162,4000172,sparse_embedding_lsqr,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,3.0940881731192845e-19,6.152536339546529e-29,5028963669.20456,5.562452852042235e-10,4.099340644852339e-11,8.043192597053644e-12,0.07369663624829254,8.043192597053644e-12,5.562456020639208e-10,5.139333354782865e-11,5.516597537498833e-10,0.0,41,2089,2130,41,105,146,2108,22,124,22,0,2048,0,64,30,30,30,30,0,0,0,30,30,2048,512,1.584580052,0.135575067,1.2146376600000004,0.0,0.168097744,0.064597762,0.06626958099999958,1.6253853230009554,727.734375,35.9375,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,162,5000174,spir,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,2.0178005108866788e-28,6.152536339546529e-29,2.2796238811576046,1.4204930520374532e-14,1.4364823817711588e-15,2.0540037829587876e-16,0.10112561829927796,2.0540037829587876e-16,1.3890042034439716e-14,1.1161753292225732e-12,1.267359412016979e-14,0.0,5,1029,1034,5,37,42,1032,2,40,2,0,1024,0,32,4,4,4,4,0,0,0,1,1,1024,512,0.787133256,0.018038399,0.5653369790000001,0.0,0.122323716,0.006259753999999999,0.08143416199999978,0.8286603820015443,714.74609375,22.93359375,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,162,6000176,fossils,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,3.369219213478538e-29,6.152536339546529e-29,-0.45238532085990646,5.804497578153115e-15,5.171719920037022e-16,8.393184300761553e-17,0.089098493890363,8.393184300761553e-17,5.893022469172216e-15,1.1154160226841043e-12,3.138475646527989e-15,0.0,4,6148,6152,4,196,200,6150,2,198,2,0,6144,0,192,3,3,3,3,0,0,0,1,1,6144,512,3.970559098,0.014430377,3.3877243310000016,0.0,0.374247363,0.00632734,0.1941570269999982,4.011090824998973,776.859375,85.0546875,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,163,1000166,amfls,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,5.700339206095855e-19,4.459740481628118e-29,12781773354.598555,7.550059076653535e-10,1.6004331200988603e-11,1.0917230381919343e-11,0.02119762380466341,1.0917230381919343e-11,7.550061171291969e-10,7.45785065359673e-11,8.591963163443788e-10,0.0,109,109,218,109,109,218,192,26,192,26,0,0,0,0,0,0,0,0,0,0,0,96,96,0,96,0.72856179,0.40057959299999996,0.31080044100000015,0.005184083000000001,0.001037863,0.086453382,0.01095980999999988,0.7701945700100623,681.8046875,1.5390625,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,163,2000169,fixed_rbgk,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,3.8187695580119837e-19,4.459740481628118e-29,8562761831.76446,6.179619371783332e-10,8.25323344774062e-12,8.93560271110263e-12,0.013355569253060449,8.93560271110263e-12,6.179620909488981e-10,6.125907719610265e-11,7.573141145858837e-10,0.0,335,335,670,47,47,94,648,22,72,22,0,0,0,0,0,0,0,0,8,131072,1,36,36,8,324,0.973799333,0.40913634700000007,0.46031497700000007,0.06836237799999999,0.009058932,0.07212840200000001,0.02692669899999981,1.0141590659986832,702.83984375,11.04296875,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,163,1000166,lsqr,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.351041453735601e-19,4.459740481628118e-29,16483114843.951595,8.573821466379842e-10,2.2466285337252433e-11,1.2397569774170503e-11,0.026203351009055312,1.2397569774170503e-11,8.573822357989458e-10,8.452854721438553e-11,9.713556873635608e-10,0.0,243,243,486,243,243,486,454,32,454,32,0,0,0,0,0,0,0,0,0,0,0,227,227,0,227,1.583708455,0.8761516259999999,0.6881587179999995,0.0,0.0,0.10457354199999999,0.019398111000000662,1.6239733190013794,692.4296875,0.640625,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,163,1000166,lsmr,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,6.945985308153073e-19,4.459740481628118e-29,15574864358.859123,8.334257800280151e-10,1.1014281437074321e-11,1.2051165632506992e-11,0.013215671630296922,1.2051165632506992e-11,8.334258438407166e-10,8.22002059442921e-11,1.1431536661149752e-09,0.0,246,247,493,246,247,493,461,32,461,32,0,0,0,0,0,0,0,0,0,0,0,230,230,0,230,1.569357197,0.8634137729999997,0.6857725830000004,0.0,0.0,0.097308895,0.020170840999999884,1.6036749650011188,692.44140625,0.65625,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,163,1000166,lsmb,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.351041453735601e-19,4.459740481628118e-29,16483114843.951595,8.573821466379842e-10,2.2466285337252433e-11,1.2397569774170503e-11,0.026203351009055312,1.2397569774170503e-11,8.573822357989458e-10,8.452854721438553e-11,9.713556873635608e-10,0.0,243,244,487,243,244,487,455,32,455,32,0,0,0,0,0,0,0,0,0,0,0,227,227,0,227,1.530026848,0.8389012069999996,0.6703202320000002,0.0,0.0,0.10072042999999999,0.020805409000000274,1.5751229719971889,692.4609375,0.66796875,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,163,3000169,lsrn,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,6.022775661999733e-19,4.459740481628118e-29,13504767118.993937,7.76065439379935e-10,3.9129272069379856e-11,1.122174688596157e-11,0.05042006779820472,1.122174688596157e-11,7.76065699414677e-10,7.662530176296152e-11,7.584986640040047e-10,0.0,67,1091,1158,67,99,166,1134,24,142,24,0,1024,0,32,55,55,55,55,1024,16777216,32,55,55,1024,512,2.055562408,0.2641279699999999,0.9205157690000002,0.0,0.19759258,0.08824338500000001,0.673326089,2.109162110995385,712.49609375,20.6875,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,163,4000173,sparse_embedding_lsqr,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,3.4221876558170096e-19,4.459740481628118e-29,7673512998.05162,5.84994671413083e-10,3.836415969446441e-11,8.458902818237937e-12,0.06558035751299054,8.458902818237937e-12,5.849948035425187e-10,5.805495836337323e-11,5.847375398386054e-10,0.0,41,2089,2130,41,105,146,2108,22,124,22,0,2048,0,64,30,30,30,30,0,0,0,30,30,2048,512,1.65435962,0.14945916099999995,1.2622648930000002,0.0,0.168650703,0.07189114,0.07398486299999968,1.6944364009978017,731.59765625,39.80078125,
large_dense_spectral_coverage_v1,polynomial_balanced_consistent_tall,163,5000175,spir,16384,512,512,haar,polynomial,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,2.1265545657196855e-28,4.459740481628118e-29,3.7683370242730896,1.458271087870731e-14,2.393349708059797e-15,2.1086300469894387e-16,0.16412241372448827,2.1086300469894387e-16,1.4782671255594767e-14,1.0133610205928847e-12,1.3301296798258434e-14,0.0,5,1029,1034,5,37,42,1032,2,40,2,0,1024,0,32,4,4,4,4,0,0,0,1,1,1024,512,0.7950911,0.018638625,0.5893296979999999,0.0,0.122594756,0.00668933,0.06452802100000013,0.8368977319987607,714.72265625,22.921875,
