suite,case,instance_seed,algorithm_seed,method,m,n,nnz,rank,coherence,spectrum,rhs,regularization,regularization_ratio,tolerance,success,external_success,precision_status_case,precision_status_correct,status,stop_reason,objective,reference_objective,relative_objective_gap,residual_norm,normal_residual_norm,compatible_backward_error_external,least_squares_backward_error_external,backward_error_external,relative_energy_error_external,reported_accuracy_upper,relative_solution_error,relative_null_component,a_columns,at_columns,total_vector_work,a_block_calls,at_block_calls,total_block_calls,search_vector_work,validation_vector_work,search_block_calls,validation_block_calls,sketch_a_columns,sketch_at_columns,sketch_a_block_calls,sketch_at_block_calls,iterative_a_columns,iterative_at_columns,iterative_a_block_calls,iterative_at_block_calls,gaussian_random_columns,gaussian_random_values,gaussian_random_block_requests,iterations,depth,auxiliary_width,basis_rank,kernel_seconds,a_seconds,at_seconds,orthogonalization_seconds,projected_solve_seconds,validation_seconds,other_seconds,wall_seconds,peak_resident_memory_mib,additional_resident_memory_mib,error
large_sparse_application_v1,NIST_ILLC1033,115,5000127,spir,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.72982164750176e-07,,,0.0008203549017042417,1.2960813777478914e-12,0.00025330644901388214,7.472240874888059e-10,7.472240874888059e-10,,1.555226539658874e-09,,,54,54,108,54,54,108,106,2,106,2,0,0,0,0,53,53,53,53,0,0,0,50,1,640,320,0.048564075,0.0012998739999999997,0.001219256,0.0,0.039969414,4.1318e-05,0.006075530999999995,0.0496672680019401,575.50390625,8.67578125,
large_sparse_application_v1,NIST_ILLC1033,115,6000129,fossils,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,6.729821647501741e-07,,,0.0008203549017042405,2.297146736728264e-15,0.00025330644900891324,1.3243638892198877e-12,1.3243638892198877e-12,,5.580940246123895e-11,,,25,25,50,25,25,50,48,2,48,2,0,0,0,0,24,24,24,24,0,0,0,22,1,3840,320,0.135294155,0.0005987539999999998,0.0005683369999999999,0.0,0.121878974,4.1439e-05,0.01224808999999999,0.1364518299960764,599.015625,32.1953125,
large_sparse_application_v1,NIST_ILLC1033,116,1000119,amfls,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,6.827395781240888e-07,,,0.0008262805686472899,1.6607081315765256e-15,0.00024047221160488285,9.505744622179276e-13,9.505744622179276e-13,,5.929290288083452e-11,,,282,283,565,282,283,565,531,34,531,34,0,0,0,0,0,0,0,0,0,0,0,265,265,0,265,0.029341836,0.005929516000000003,0.005665268000000003,0.0053804159999999955,0.008509535,0.000704836,0.0038571009999999965,0.0304374070110498,559.6796875,3.8515625,
large_sparse_application_v1,NIST_ILLC1033,116,2000122,fixed_rbgk,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,3,6,6.827395781245744e-07,,,0.0008262805686475838,4.382106646365641e-10,0.00024047251078588373,2.508278600885021e-07,2.508278600885021e-07,,5.042785323362711e-07,,,286,289,575,41,41,82,555,20,62,20,0,0,0,0,0,0,0,0,8,8264,1,31,31,8,276,0.030238838,0.0038444719999999994,0.004474258,0.011642808000000003,0.006708799,0.000428347,0.0035685009999999982,0.03131982800550759,569.79296875,2.953125,
large_sparse_application_v1,NIST_ILLC1033,116,1000119,lsqr,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.878420142809263e-07,,,0.0008293624143165196,4.810001370215368e-07,0.0002629666011970662,0.00027429710272863317,0.0002629666011970662,,0.0004003766408696701,,,1185,1185,2370,1185,1185,2370,2328,42,2328,42,0,0,0,0,0,0,0,0,0,0,0,1164,1164,0,1164,0.047982532,0.020316100000000035,0.019448742000000192,0.0,0.0,0.0008149419999999999,0.008217689999999774,0.049058935008361004,566.8984375,0.05078125,
large_sparse_application_v1,NIST_ILLC1033,116,1000119,lsmr,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.886605727770622e-07,,,0.0008298557541989223,1.9854107425653387e-08,0.0002635594980800912,1.1315353540990999e-05,1.1315353540990999e-05,,2.2746489119730258e-05,,,1185,1186,2371,1185,1186,2371,2329,42,2329,42,0,0,0,0,0,0,0,0,0,0,0,1164,1164,0,1164,0.059054249,0.024957223000000008,0.02414691900000001,0.0,0.0,0.0008656180000000001,0.009950106999999986,0.060117667002486996,566.88671875,0.046875,
large_sparse_application_v1,NIST_ILLC1033,116,1000119,lsmb,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.886591677011724e-07,,,0.0008298549076201046,1.9858395234564333e-08,0.0002635590005464729,1.1317808816662385e-05,1.1317808816662385e-05,,2.2751424782522443e-05,,,1185,1186,2371,1185,1186,2371,2329,42,2329,42,0,0,0,0,0,0,0,0,0,0,0,1164,1164,0,1164,0.043560152,0.017176663000000026,0.01661319800000007,0.0,0.0,0.0005927790000000002,0.009770290999999903,0.04454667499521747,566.87890625,0.0390625,
large_sparse_application_v1,NIST_ILLC1033,116,3000122,lsrn,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.827395781240791e-07,,,0.0008262805686472841,1.8560681722356532e-13,0.00024047221119309135,1.0623967999649851e-10,1.0623967999649851e-10,,2.709546594848951e-10,,,1186,1826,3012,1186,1206,2392,2968,44,2348,44,0,640,0,20,1164,1164,1164,1164,640,661120,20,1164,1164,640,320,0.177286971,0.023334709000000006,0.031649423000000024,0.0,0.04209067,0.000884372,0.08021216899999996,0.17830826100544073,574.69921875,7.85546875,
large_sparse_application_v1,NIST_ILLC1033,116,4000126,sparse_embedding_lsqr,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,1,0,,1,3,6.827395781240762e-07,,,0.0008262805686472822,1.3020740975446307e-13,0.0002404722111930839,7.452955528473355e-11,7.452955528473355e-11,,2.0725168993806737e-10,,,1187,1187,2374,1187,1187,2374,2328,46,2328,46,0,0,0,0,1164,1164,1164,1164,0,0,0,1164,1164,1280,320,0.16631971,0.024714614999999992,0.023462246000000016,0.0,0.057061705,0.000925312,0.061081144,0.1674355480063241,580.2734375,13.41796875,
large_sparse_application_v1,NIST_ILLC1033,116,5000128,spir,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.82739578124082e-07,,,0.0008262805686472858,9.353194915885032e-13,0.00024047221120441053,5.353685008302266e-10,5.353685008302266e-10,,1.133591017425493e-09,,,54,54,108,54,54,108,106,2,106,2,0,0,0,0,53,53,53,53,0,0,0,50,1,640,320,0.048509202,0.001277463,0.001220785,0.0,0.03985016,4.1507999999999996e-05,0.006160793999999997,0.049676045004162006,575.5234375,8.66796875,
large_sparse_application_v1,NIST_ILLC1033,116,6000130,fossils,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,6.827395781240854e-07,,,0.0008262805686472879,1.1913491768932757e-15,0.00024047221119297103,6.819175998518407e-13,6.819175998518407e-13,,5.875864040525075e-11,,,26,26,52,26,26,52,50,2,50,2,0,0,0,0,25,25,25,25,0,0,0,23,1,3840,320,0.126106289,0.0006236569999999999,0.000588262,0.0,0.114354814,4.1376999999999994e-05,0.010539556000000005,0.12713985099981073,599.0390625,32.18359375,
large_sparse_application_v1,NIST_ILLC1033,117,1000120,amfls,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,6.850198997514702e-07,,,0.0008276592896545475,1.5624564739672612e-15,0.0002644992408980343,8.928463015615351e-13,8.928463015615351e-13,,5.1929449502677064e-11,,,282,283,565,282,283,565,531,34,531,34,0,0,0,0,0,0,0,0,0,0,0,265,265,0,265,0.02995098,0.006078054999999998,0.005701259000000002,0.005510877000000001,0.008675042,0.000717239,0.003985746999999994,0.0310854730050778,559.68359375,3.85546875,
large_sparse_application_v1,NIST_ILLC1033,117,2000123,fixed_rbgk,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,3,6,6.850198997854241e-07,,,0.0008276592896750596,5.826564116031772e-09,0.0002644992512257512,3.3295175311169657e-06,3.3295175311169657e-06,,6.693138940567266e-06,,,287,289,576,41,41,82,556,20,62,20,0,0,0,0,0,0,0,0,8,8264,1,31,31,8,277,0.030313727,0.003864370999999999,0.004494288999999999,0.011610203999999997,0.006733162,0.000426553,0.0036117010000000045,0.03139544099394698,569.8203125,2.94921875,
large_sparse_application_v1,NIST_ILLC1033,117,1000120,lsqr,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.892909052806908e-07,,,0.0008302354517127601,1.2709890283459784e-06,0.00027289984616395905,0.0007240372288253859,0.00027289984616395905,,0.00041183532347366516,,,1185,1185,2370,1185,1185,2370,2328,42,2328,42,0,0,0,0,0,0,0,0,0,0,0,1164,1164,0,1164,0.058295013,0.02485130299999998,0.02380990600000002,0.0,0.0,0.00085708,0.009633803999999996,0.0593503059935756,566.91015625,0.0390625,
large_sparse_application_v1,NIST_ILLC1033,117,1000120,lsmr,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.944701329159777e-07,,,0.000833348746273718,4.3499990945247664e-08,0.0002780528306489808,2.468782045319697e-05,2.468782045319697e-05,,4.9303808694311886e-05,,,1185,1186,2371,1185,1186,2371,2329,42,2329,42,0,0,0,0,0,0,0,0,0,0,0,1164,1164,0,1164,0.058095368,0.024690947999999983,0.023726877999999958,0.0,0.0,0.000854956,0.00967754200000006,0.05912514300143812,566.90625,0.046875,
large_sparse_application_v1,NIST_ILLC1033,117,1000120,lsmb,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.944337897774688e-07,,,0.000833326940508627,4.372849763445187e-08,0.0002780368445851531,2.481815567858493e-05,2.481815567858493e-05,,4.9566429933870866e-05,,,1185,1186,2371,1185,1186,2371,2329,42,2329,42,0,0,0,0,0,0,0,0,0,0,0,1164,1164,0,1164,0.055199776,0.02258949499999999,0.021654240000000078,0.0,0.0,0.000838518,0.010956040999999927,0.05624045099830255,566.91015625,0.04296875,
large_sparse_application_v1,NIST_ILLC1033,117,3000123,lsrn,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,1,0,,1,3,6.850198997514714e-07,,,0.0008276592896545483,1.0380352981115381e-13,0.00026449924073807223,5.93172348958907e-11,5.93172348958907e-11,,1.6934626680188152e-10,,,1186,1826,3012,1186,1206,2392,2968,44,2348,44,0,640,0,20,1164,1164,1164,1164,640,661120,20,1164,1164,640,320,0.1845978,0.024992454999999983,0.03342787199999992,0.0,0.04205877,0.0009085040000000001,0.0841187030000001,0.18573066900717095,574.72265625,7.8515625,
large_sparse_application_v1,NIST_ILLC1033,117,4000127,sparse_embedding_lsqr,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,6.850198997514788e-07,,,0.0008276592896545527,3.0286278735600694e-14,0.00026449924073770404,1.7306716959917872e-11,1.7306716959917872e-11,,8.48902455149185e-11,,,61,61,122,61,61,122,96,26,96,26,0,0,0,0,48,48,48,48,0,0,0,48,48,1280,320,0.067187053,0.0012953670000000004,0.0012358819999999996,0.0,0.057544693,0.0005403080000000001,0.007111110999999996,0.06840245699277148,580.2890625,13.4140625,
large_sparse_application_v1,NIST_ILLC1033,117,5000129,spir,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.850198997514733e-07,,,0.0008276592896545494,6.354522427719711e-13,0.00026449924072722083,3.631212736040825e-10,3.631212736040825e-10,,7.800803099307227e-10,,,54,54,108,54,54,108,106,2,106,2,0,0,0,0,53,53,53,53,0,0,0,50,1,640,320,0.048202896,0.0012932319999999996,0.0012235710000000001,0.0,0.039816857,4.1008e-05,0.005869236000000007,0.04930876499565784,575.5625,8.6796875,
large_sparse_application_v1,NIST_ILLC1033,117,6000131,fossils,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,6.850198997514785e-07,,,0.0008276592896545525,2.3791737369095247e-15,0.00026449924073778546,1.3595492144355909e-12,1.3595492144355909e-12,,5.2864781556692636e-11,,,24,24,48,24,24,48,46,2,46,2,0,0,0,0,23,23,23,23,0,0,0,21,1,3840,320,0.135151717,0.000575923,0.0005516790000000001,0.0,0.121851623,4.1789e-05,0.012172491999999993,0.13626954799110536,599.0625,32.1796875,
large_sparse_application_v1,NIST_ILLC1033,118,1000121,amfls,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,6.859330955236323e-07,,,0.000828210779647085,1.403584751289493e-15,0.00025998398398138425,8.015269560091826e-13,8.015269560091826e-13,,5.301945063349635e-11,,,282,283,565,282,283,565,531,34,531,34,0,0,0,0,0,0,0,0,0,0,0,265,265,0,265,0.029928669,0.006088436000000002,0.005985374999999999,0.005591833000000006,0.008550981,0.0008253289999999999,0.003712043999999996,0.03106696900795214,559.68359375,3.8515625,
large_sparse_application_v1,NIST_ILLC1033,118,2000124,fixed_rbgk,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,3,6,6.859330955236861e-07,,,0.0008282107796471174,5.740727713722436e-11,0.00025998399370303737,3.278282986068348e-08,3.278282986068348e-08,,6.595235641027256e-08,,,286,289,575,41,41,82,555,20,62,20,0,0,0,0,0,0,0,0,8,8264,1,31,31,8,276,0.030280756,0.0038327409999999998,0.004463673999999999,0.011730965,0.006702947,0.000425598,0.003550428999999998,0.031341338995844126,569.8359375,2.94140625,
large_sparse_application_v1,NIST_ILLC1033,118,1000121,lsqr,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.896153386223474e-07,,,0.0008304308150727232,4.518168841845909e-07,0.00027200561239480123,0.00025732345270490617,0.00025732345270490617,,0.00041084544407047425,,,1185,1185,2370,1185,1185,2370,2328,42,2328,42,0,0,0,0,0,0,0,0,0,0,0,1164,1164,0,1164,0.057959392,0.024671017,0.023577781999999933,0.0,0.0,0.0008588210000000001,0.009710593000000062,0.05896682498860173,566.921875,0.0390625,
large_sparse_application_v1,NIST_ILLC1033,118,1000121,lsmr,1033,320,4719,320,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,6.908282120302796e-07,,,0.0008311607618447105,2.4094614224356308e-08,0.0002730399499582532,1.3710563825892195e-05,1.3710563825892195e-05,,2.7561404999379755e-05,,,1185,1186,2371,1185,1186,2371,2329,42,2329,42,0,0,0,0,0,0,0,0,0,0,0,1164,1164,0,1164,0.058591479,0.02489473899999998,0.023971224000000024,0.0,0.0,0.000873394,0.009725515999999993,0.05962051299866289,566.921875,0.0390625,
